marca;precio;velocidad;peso;largo;viraje;transmision;extranjero
AMC Concord;4099;22;2930;186;40;3.5799999;0
AMC Pacer;4749;17;3350;173;40;2.53;0
AMC Spirit;3799;22;2640;168;35;3.0799999;0
Buick Century;4816;20;3250;196;40;2.9300001;0
Buick Electra;7827;15;4080;222;43;2.4100001;0
Buick LeSabre;5788;18;3670;218;43;2.73;0
Buick Opel;4453;26;2230;170;34;2.8699999;0
Buick Regal;5189;20;3280;200;42;2.9300001;0
Buick Riviera;10372;16;3880;207;43;2.9300001;0
Buick Skylark;4082;19;3400;200;42;3.0799999;0
Cad. Deville;11385;14;4330;221;44;2.28;0
Cad. Eldorado;14500;14;3900;204;43;2.1900001;0
Cad. Seville;15906;21;4290;204;45;2.24;0
Chev. Chevette;3299;29;2110;163;34;2.9300001;0
Chev. Impala;5705;16;3690;212;43;2.5599999;0
Chev. Malibu;4504;22;3180;193;31;2.73;0
Chev. Monte Carlo;5104;22;3220;200;41;2.73;0
Chev. Monza;3667;24;2750;179;40;2.73;0
Chev. Nova;3955;19;3430;197;43;2.5599999;0
Dodge Colt;3984;30;2120;163;35;3.54;0
Dodge Diplomat;4010;18;3600;206;46;2.47;0
Dodge Magnum;5886;16;3600;206;46;2.47;0
Dodge St. Regis;6342;17;3740;220;46;2.9400001;0
Ford Fiesta;4389;28;1800;147;33;3.1500001;0
Ford Mustang;4187;21;2650;179;43;3.0799999;0
Linc. Continental;11497;12;4840;233;51;2.47;0
Linc. Mark V;13594;12;4720;230;48;2.47;0
Linc. Versailles;13466;14;3830;201;41;2.47;0
Merc. Bobcat;3829;22;2580;169;39;2.73;0
Merc. Cougar;5379;14;4060;221;48;2.75;0
Merc. Marquis;6165;15;3720;212;44;2.26;0
Merc. Monarch;4516;18;3370;198;41;2.4300001;0
Merc. XR-7;6303;14;4130;217;45;2.75;0
Merc. Zephyr;3291;20;2830;195;43;3.0799999;0
Olds 98;8814;21;4060;220;43;2.4100001;0
Olds Cutl Supr;5172;19;3310;198;42;2.9300001;0
Olds Cutlass;4733;19;3300;198;42;2.9300001;0
Olds Delta 88;4890;18;3690;218;42;2.73;0
Olds Omega;4181;19;3370;200;43;3.0799999;0
Olds Starfire;4195;24;2730;180;40;2.73;0
Olds Toronado;10371;16;4030;206;43;2.4100001;0
Plym. Arrow;4647;28;3260;170;37;3.05;0
Plym. Champ;4425;34;1800;157;37;2.97;0
Plym. Horizon;4482;25;2200;165;36;3.3699999;0
Plym. Sapporo;6486;26;2520;182;38;3.54;0
Plym. Volare;4060;18;3330;201;44;3.23;0
Pont. Catalina;5798;18;3700;214;42;2.73;0
Pont. Firebird;4934;18;3470;198;42;3.0799999;0
Pont. Grand Prix;5222;19;3210;201;45;2.9300001;0
Pont. Le Mans;4723;19;3200;199;40;2.9300001;0
Pont. Phoenix;4424;19;3420;203;43;3.0799999;0
Pont. Sunbird;4172;24;2690;179;41;2.73;0
Audi 5000;9690;17;2830;189;37;3.2;1
Audi Fox;6295;23;2070;174;36;3.7;1
BMW 320i;9735;25;2650;177;34;3.6400001;1
Datsun 200;6229;23;2370;170;35;3.8900001;1
Datsun 210;4589;35;2020;165;32;3.7;1
Datsun 510;5079;24;2280;170;34;3.54;1
Datsun 810;8129;21;2750;184;38;3.55;1
Fiat Strada;4296;21;2130;161;36;3.3699999;1
Honda Accord;5799;25;2240;172;36;3.05;1
Honda Civic;4499;28;1760;149;34;3.3;1
Mazda GLC;3995;30;1980;154;33;3.73;1
Peugeot 604;12990;14;3420;192;38;3.5799999;1
Renault Le Car;3895;26;1830;142;34;3.72;1
Subaru;3798;35;2050;164;36;3.8099999;1
Toyota Celica;5899;18;2410;174;36;3.0599999;1
Toyota Corolla;3748;31;2200;165;35;3.21;1
Toyota Corona;5719;18;2670;175;36;3.05;1
VW Dasher;7140;23;2160;172;36;3.74;1
VW Diesel;5397;41;2040;155;35;3.78;1
VW Rabbit;4697;25;1930;155;35;3.78;1
VW Scirocco;6850;25;1990;156;36;3.78;1
Volvo 260;11995;17;3170;193;37;2.98;1
